Fixtures,Expected Goal Difference,Actual Goal Difference
Blackburnvs. Norwich,2.0,2
Boltonvs. Swansea,0.0,0
Fulhamvs. Wigan,1.0,1
Newcastlevs. Stoke,3.0,3
QPRvs. Tottenham,1.0,1
Liverpoolvs. West Brom,-1.0,-1
Man Unitedvs. Everton,0.0,0
Wolvesvs. Man City,-2.0,-2
Aston Villavs. Bolton,-1.0,-1
Evertonvs. Fulham,4.0,4
Norwichvs. Liverpool,-3.0,-3
Stokevs. Arsenal,0.0,0
Sunderlandvs. Bolton,0.0,0
Swanseavs. Wolves,0.0,0
West Bromvs. Aston Villa,0.0,0
Wiganvs. Newcastle,4.0,4
Chelseavs. QPR,5.0,5
Tottenhamvs. Blackburn,2.0,2
Man Cityvs. Man United,1.0,1
Liverpoolvs. Fulham,-1.0,-1
Stokevs. Everton,0.0,0
Boltonvs. Tottenham,-3.0,-3
Chelseavs. Newcastle,-2.0,-2
Arsenalvs. Norwich,0.0,0
Aston Villavs. Tottenham,0.0,0
Boltonvs. West Brom,0.0,0
Fulhamvs. Sunderland,1.0,1
Man Unitedvs. Swansea,2.0,2
Newcastlevs. Man City,-2.0,-2
QPRvs. Stoke,1.0,1
Wolvesvs. Everton,0.0,0
Blackburnvs. Wigan,-1.0,-1
Liverpoolvs. Chelsea,3.0,3
Chelseavs. Blackburn,1.0,1
Evertonvs. Newcastle,2.0,2
Man Cityvs. QPR,1.0,1
Norwichvs. Aston Villa,2.0,2
Stokevs. Bolton,0.0,0
Sunderlandvs. Man United,-1.0,-1
Swanseavs. Liverpool,1.0,1
Tottenhamvs. Fulham,2.0,2
West Bromvs. Arsenal,-1.0,-1
Wiganvs. Wolves,1.0,1
Arsenalvs. Sunderland,0.0,0
Fulhamvs. Norwich,5.0,5
Newcastlevs. Tottenham,1.0,1
QPRvs. Swansea,-5.0,-5
Readingvs. Stoke,0.0,0
West Bromvs. Liverpool,3.0,3
West Hamvs. Aston Villa,1.0,1
Man Cityvs. Southampton,1.0,1
Wiganvs. Chelsea,-2.0,-2
Evertonvs. Man United,1.0,1
Chelseavs. Reading,2.0,2
Aston Villavs. Everton,-2.0,-2
Chelseavs. Newcastle,2.0,2
Man Unitedvs. Fulham,1.0,1
Norwichvs. QPR,0.0,0
Southamptonvs. Wigan,-2.0,-2
Swanseavs. West Ham,3.0,3
Tottenhamvs. West Brom,0.0,0
Liverpoolvs. Man City,0.0,0
Stokevs. Arsenal,0.0,0
Man Cityvs. QPR,2.0,2
Swanseavs. Sunderland,0.0,0
Tottenhamvs. Norwich,0.0,0
West Bromvs. Everton,2.0,2
West Hamvs. Fulham,3.0,3
Wiganvs. Stoke,0.0,0
Liverpoolvs. Arsenal,-2.0,-2
Newcastlevs. Aston Villa,0.0,0
Southamptonvs. Man United,-1.0,-1
Arsenalvs. Southampton,5.0,5
Aston Villavs. Swansea,2.0,2
Fulhamvs. West Brom,3.0,3
Man Unitedvs. Wigan,4.0,4
Norwichvs. West Ham,0.0,0
QPRvs. Chelsea,0.0,0
Stokevs. Man City,0.0,0
Sunderlandvs. Liverpool,0.0,0
Readingvs. Tottenham,-2.0,-2
Evertonvs. Newcastle,0.0,0
Chelseavs. Stoke,1.0,1
Southamptonvs. Aston Villa,3.0,3
Swanseavs. Everton,-3.0,-3
West Bromvs. Reading,1.0,1
West Hamvs. Sunderland,0.0,0
Wiganvs. Fulham,-1.0,-1
Liverpoolvs. Man United,-1.0,-1
Man Cityvs. Arsenal,0.0,0
Newcastlevs. Norwich,1.0,1
Tottenhamvs. QPR,1.0,1
Arsenalvs. Chelsea,-1.0,-1
Evertonvs. Southampton,2.0,2
Fulhamvs. Man City,-1.0,-1
Man Unitedvs. Tottenham,-1.0,-1
Norwichvs. Liverpool,-3.0,-3
Readingvs. Newcastle,0.0,0
Stokevs. Swansea,2.0,2
Sunderlandvs. Wigan,1.0,1
Aston Villavs. West Brom,0.0,0
QPRvs. West Ham,-1.0,-1
Chelseavs. Norwich,3.0,3
Man Cityvs. Sunderland,3.0,3
Swanseavs. Reading,0.0,0
West Bromvs. QPR,1.0,1
West Hamvs. Arsenal,-2.0,-2
Wiganvs. Everton,0.0,0
Liverpoolvs. Stoke,0.0,0
Newcastlevs. Man United,-3.0,-3
Southamptonvs. Fulham,0.0,0
Tottenhamvs. Aston Villa,2.0,2
Fulhamvs. Aston Villa,1.0,1
Liverpoolvs. Reading,1.0,1
Man Unitedvs. Stoke,2.0,2
Norwichvs. Arsenal,1.0,1
Swanseavs. Wigan,1.0,1
Tottenhamvs. Chelsea,-2.0,-2
West Bromvs. Man City,-1.0,-1
West Hamvs. Southampton,3.0,3
QPRvs. Everton,0.0,0
Sunderlandvs. Newcastle,0.0,0
Arsenalvs. QPR,1.0,1
Aston Villavs. Norwich,0.0,0
Man Cityvs. Swansea,1.0,1
Readingvs. Fulham,0.0,0
Stokevs. Sunderland,0.0,0
Wiganvs. West Ham,1.0,1
Chelseavs. Man United,-1.0,-1
Evertonvs. Liverpool,0.0,0
Newcastlevs. West Brom,1.0,1
Southamptonvs. Tottenham,-1.0,-1
Fulhamvs. Everton,0.0,0
Man Unitedvs. Arsenal,1.0,1
Norwichvs. Stoke,1.0,1
Sunderlandvs. Aston Villa,-1.0,-1
Swanseavs. Chelsea,0.0,0
Tottenhamvs. Wigan,-1.0,-1
West Hamvs. Man City,0.0,0
Liverpoolvs. Newcastle,0.0,0
QPRvs. Reading,0.0,0
West Bromvs. Southampton,2.0,2
Arsenalvs. Fulham,0.0,0
Aston Villavs. Man United,-1.0,-1
Evertonvs. Sunderland,1.0,1
Readingvs. Norwich,0.0,0
Southamptonvs. Swansea,0.0,0
Stokevs. QPR,1.0,1
Wiganvs. West Brom,-1.0,-1
Chelseavs. Liverpool,0.0,0
Man Cityvs. Tottenham,1.0,1
Newcastlevs. West Ham,-1.0,-1
Arsenalvs. Tottenham,3.0,3
Liverpoolvs. Wigan,3.0,3
Man Cityvs. Aston Villa,5.0,5
Newcastlevs. Swansea,-1.0,-1
Norwichvs. Man United,1.0,1
QPRvs. Southampton,-2.0,-2
Readingvs. Everton,1.0,1
West Bromvs. Chelsea,1.0,1
Fulhamvs. Sunderland,-2.0,-2
West Hamvs. Stoke,0.0,0
Aston Villavs. Arsenal,0.0,0
Evertonvs. Norwich,0.0,0
Man Unitedvs. QPR,2.0,2
Stokevs. Fulham,1.0,1
Sunderlandvs. West Brom,-2.0,-2
